序號,原始檔名,新檔名,Group,File,Tissue_Area_um2,Collagen_Area_um2,CVF_Percent
227,hs10wgae10-5_mt_6.jpg,227.jpg,GAE10,227.jpg,199080.1956,9063.68796,4.552782326
228,ss10w-1_mt_1.jpg,228.jpg,SS10W,228.jpg,214932.8463,13313.06605,6.194058417
229,ss10w-1_mt_2.jpg,229.jpg,SS10W,229.jpg,212644.3183,7627.339693,3.586900301
230,ss10w-1_mt_3.jpg,230.jpg,SS10W,230.jpg,212457.0583,9068.035261,4.268173217
231,ss10w-1_mt_4.jpg,231.jpg,SS10W,231.jpg,216747.4097,9066.731071,4.18308624
232,ss10w-1_mt_5.jpg,232.jpg,SS10W,232.jpg,214775.474,7144.571912,3.326530623
233,ss10w-1_mt_6.jpg,233.jpg,SS10W,233.jpg,215850.0181,7577.671779,3.510619015
234,ss10w-2_mt_1.jpg,234.jpg,SS10W,234.jpg,215961.4177,6420.637604,2.97304846
235,ss10w-2_mt_2.jpg,235.jpg,SS10W,235.jpg,210541.8548,5747.240671,2.729737836
236,ss10w-2_mt_3.jpg,236.jpg,SS10W,236.jpg,220838.4374,6434.875015,2.913838321
237,ss10w-2_mt_4.jpg,237.jpg,SS10W,237.jpg,197191.1846,7855.029586,3.983458794
238,ss10w-2_mt_5.jpg,238.jpg,SS10W,238.jpg,209829.0062,7576.367588,3.610734153
239,ss10w-2_mt_6.jpg,239.jpg,SS10W,239.jpg,226461.3452,6959.485569,3.073145027
240,ss10w-3_mt_1.jpg,240.jpg,SS10W,240.jpg,210469.907,5377.937447,2.555204933
241,ss10w-3_mt_2.jpg,241.jpg,SS10W,241.jpg,206652.7593,8814.478928,4.26535748
242,ss10w-3_mt_3.jpg,242.jpg,SS10W,242.jpg,224817.7394,10223.00447,4.547241021
243,ss10w-3_mt_4.jpg,243.jpg,SS10W,243.jpg,219214.7204,6454.220505,2.944245939
244,ss10w-3_mt_5.jpg,244.jpg,SS10W,244.jpg,214229.2356,9904.238619,4.623196545
245,ss10w-3_mt_6.jpg,245.jpg,SS10W,245.jpg,226503.6228,8772.85352,3.873162563
246,ss10w-4_mt_1.jpg,246.jpg,SS10W,246.jpg,205226.0838,7437.362637,3.62398507
247,ss10w-4_mt_2.jpg,247.jpg,SS10W,247.jpg,214752.7593,7239.669122,3.371164657
248,ss10w-4_mt_3.jpg,248.jpg,SS10W,248.jpg,209616.9665,6280.545828,2.996201086
249,ss10w-4_mt_4.jpg,249.jpg,SS10W,249.jpg,225116.725,5355.874894,2.379154589
250,ss10w-4_mt_5.jpg,250.jpg,SS10W,250.jpg,204530.6243,4415.336312,2.158765381
251,ss10w-4_mt_6.jpg,251.jpg,SS10W,251.jpg,196685.5935,6485.629755,3.2974605
252,ss10w-5_mt_1.jpg,252.jpg,SS10W,252.jpg,214062.6253,8674.604516,4.052367621
253,ss10w-5_mt_2.jpg,253.jpg,SS10W,253.jpg,196868.8323,8696.232339,4.417272272
254,ss10w-5_mt_3.jpg,254.jpg,SS10W,254.jpg,201651.5155,7445.731192,3.692375519
255,ss10w-5_mt_4.jpg,255.jpg,SS10W,255.jpg,208671.8633,8801.980437,4.21809644
256,ss10w-5_mt_5.jpg,256.jpg,SS10W,256.jpg,201114.4065,11622.72672,5.779161686
257,ss10w-5_mt_6.jpg,257.jpg,SS10W,257.jpg,213731.0349,8328.668035,3.896798628
258,ss10w-6_mt_1.jpg,258.jpg,SS10W,258.jpg,208358.6403,9743.171115,4.676154107
259,ss10w-6_mt_2.jpg,259.jpg,SS10W,259.jpg,217173.2279,5251.104939,2.417933827
260,ss10w-6_mt_3.jpg,260.jpg,SS10W,260.jpg,221837.7732,4228.293684,1.906029628
261,ss10w-6_mt_4.jpg,261.jpg,SS10W,261.jpg,221899.1788,5164.267601,2.32730361
262,ss10w-6_mt_5.jpg,262.jpg,SS10W,262.jpg,220648.243,6335.756551,2.871428508
263,ss10w-6_mt_6.jpg,263.jpg,SS10W,263.jpg,204195.8821,10365.81331,5.076406634
264,20251126_hs2w-1_mt_1.jpg,264.jpg,HS2W,264.jpg,209578.6016,14289.9046,6.818398677
265,20251126_hs2w-1_mt_2.jpg,265.jpg,HS2W,265.jpg,208186.1611,23791.25709,11.42787636
266,20251126_hs2w-1_mt_3.jpg,266.jpg,HS2W,266.jpg,202872.2377,12301.55778,6.063696997
267,20251126_hs2w-1_mt_4.jpg,267.jpg,HS2W,267.jpg,200529.0424,19445.91233,9.697304739
268,20251126_hs2w-1_mt_5.jpg,268.jpg,HS2W,268.jpg,207983.0335,13103.85219,6.300442865
269,20251126_hs2w-1_mt_6.jpg,269.jpg,HS2W,269.jpg,194486.5113,20332.65306,10.45453123
270,20251126_hs2w-2_mt_1.jpg,270.jpg,HS2W,270.jpg,206296.9327,17936.63809,8.694573326
